Community,Decades,Scenario,Month,Temp,TError,Precip,PError
Anchorage,2080-2089,rcp85,May,13.5,2.8,25.0,9.8
Anchorage,2090-2099,rcp45,May,11.9,2.1,21.0,8.6
Anchorage,2090-2099,rcp60,May,12.6,2.5,24.0,9.3
Anchorage,2090-2099,rcp85,May,14.1,2.7,23.0,8.3
Anchorage,1961-1990,cru32,May,8.1,1.3,19.0,11.4
Fairbanks,2010-2019,rcp45,May,9.3,1.9,20.0,8.7
Fairbanks,2010-2019,rcp60,May,9.4,1.9,20.0,9.2
Fairbanks,2010-2019,rcp85,May,9.2,2.0,20.0,9.6
Fairbanks,2020-2029,rcp45,May,9.5,2.3,22.0,9.9
Fairbanks,2020-2029,rcp60,May,9.6,1.9,21.0,11.4
Fairbanks,2020-2029,rcp85,May,9.9,1.7,20.0,9.2
